label;url
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_1?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_2?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_3?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_4?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_5?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_6?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_7?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_8?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_9?raw=true
bottle;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_10?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_11?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_12?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_13?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_14?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_15?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_16?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_17?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_18?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_19?raw=true
cola can;https://github.com/ant-nik/neural_network_course/blob/main/practice_1_imgs/train.csv_image_20?raw=true
